Fabric,Biodegradable,Recyclable,Monthly_Waste_kg,Annual_Trend,Disposal Method,Recycling Efficiency (%)
High-Density Memory Foam Fabric,No,Yes,640,-2,Mechanical Recycling,52
Laminated Composite Fabric,No,Yes,600,-3,Mechanical Recycling,55
Eco-Friendly Tencel Blend,Yes,Yes,480,5,Composting,88
Hemp-Cotton Organic Fabric,Yes,Yes,450,6,Composting,85
Bamboo-Silk Luxury Blend,Yes,Yes,400,5,Composting,90
Wool-Cashmere Deluxe Blend,Yes,Yes,380,4,Composting,85
Merino Wool-Tencel Hybrid,Yes,Yes,340,5,Composting,86
Jute-Rayon Natural Fiber Mix,Yes,Yes,420,4,Composting,87
Velvet-Chiffon Elegant Fabric,No,Yes,450,2,Mechanical Recycling,50
Satin-Brocade Formal Wear Fabric,No,Yes,480,1,Mechanical Recycling,55
Fleece-Polyester Durable Blend,No,Yes,500,-2,Mechanical Recycling,58
Piqué-Spandex Stretchable Fabric,No,Yes,490,-1,Mechanical Recycling,52
Linen-Denim Vintage Style Fabric,No,Yes,510,-2,Mechanical Recycling,57
Corduroy-Satin Hybrid Fabric,No,Yes,460,0,Mechanical Recycling,55
Poplin-Georgette Light Fabric,No,Yes,480,-1,Mechanical Recycling,58
Gabardine-Wool Classic Suit Fabric,No,Yes,520,-2,Mechanical Recycling,60
Jacquard-Organza Royal Fabric,No,Yes,540,-3,Mechanical Recycling,55
Taffeta-Velvet Opulent Fabric,No,Yes,480,-2,Mechanical Recycling,52
Polynosic-Viscose Soft Fabric,No,Yes,460,1,Chemical Recycling,73
Lyocell-Bamboo Sustainable Fabric,Yes,Yes,430,5,Chemical Recycling,78
Wool-Linen-Coated Winter Fabric,Yes,Yes,410,4,Composting,80
Moisture-Proof Military Fabric,No,Yes,600,-3,Mechanical Recycling,60
Flame-Retardant Upholstery Fabric,No,Yes,650,-4,Mechanical Recycling,58
Breathable 3D Air Mesh,No,Yes,500,-2,Mechanical Recycling,55
Super-Stretch Activewear Fabric,No,Yes,470,1,Mechanical Recycling,57
Microfiber-Suede Ultra-Soft Fabric,No,Yes,530,-2,Mechanical Recycling,50
Tulle-Silk Evening Wear Fabric,No,Yes,420,0,Mechanical Recycling,48
High-Performance Marathon Fabric,No,Yes,460,-1,Mechanical Recycling,55
Ice-Cold Cooling Fabric,No,Yes,430,1,Mechanical Recycling,52
Windproof Softshell Fabric,No,Yes,520,-2,Mechanical Recycling,55
Thermal-Heated Smart Fabric,No,Yes,540,-3,Mechanical Recycling,48
Organic Muslin-Cotton Baby Fabric,Yes,Yes,350,5,Composting,85
Modal-Satin Hybrid Sleepwear Fabric,Yes,Yes,400,4,Composting,88
Wrinkle-Resistant Polyester,No,Yes,600,-2,Mechanical Recycling,55
Embossed Leather-Style Fabric,No,Yes,650,-3,Mechanical Recycling,50
Carbon-Infused Athletic Fabric,No,Yes,570,-2,Mechanical Recycling,52
Bio-Degradable Biopolymer Fabric,Yes,Yes,380,5,Composting,90
Water-Soluble Smart Fabric,Yes,Yes,320,6,Composting,92
Cork-Infused Vegan Leather,Yes,Yes,450,5,Composting,89
Silver-Thread Medical Fabric,No,Yes,420,-1,Mechanical Recycling,50
Conductive Graphene Textile,No,Yes,500,-3,Mechanical Recycling,55
Anti-Microbial Copper-Infused Fabric,No,Yes,480,-2,Mechanical Recycling,58
Seaweed-Based Fabric,Yes,Yes,360,5,Composting,90
Algae-Derived Eco-Fabric,Yes,Yes,340,6,Composting,88
Glow-in-the-Dark Textile,No,Yes,530,-3,Mechanical Recycling,48
LED-Embedded Interactive Fabric,No,Yes,580,-4,Mechanical Recycling,45
Recycled Ocean Plastic Fabric,No,Yes,620,-3,Mechanical Recycling,55
Thermochromic Color-Changing Fabric,No,Yes,500,-2,Mechanical Recycling,52
Self-Healing Nano-Fabric,No,Yes,460,-1,Mechanical Recycling,50
3D-Printed Custom Fabric,No,Yes,540,-3,Mechanical Recycling,48
Electrospun Nanofiber Textile,No,Yes,500,-2,Mechanical Recycling,50
Vegan Leather Alternative Fabric,Yes,Yes,410,5,Composting,88
Water-Reactive Pattern Fabric,No,Yes,430,1,Mechanical Recycling,55
Fragrance-Infused Perfume Fabric,No,Yes,460,-2,Mechanical Recycling,50
Liquid-Repelling Lotus-Effect Fabric,No,Yes,530,-3,Mechanical Recycling,45
Solar-Powered Charging Fabric,No,Yes,600,-4,Mechanical Recycling,48
Invisible Camouflage Fabric,No,Yes,550,-2,Mechanical Recycling,55
Soundproof Acoustic Fabric,No,Yes,580,-3,Mechanical Recycling,50
Ultra-Lightweight Parachute Fabric,No,Yes,470,-2,Mechanical Recycling,55
Climate-Adaptive Fabric,No,Yes,490,-1,Mechanical Recycling,50
Self-Cleaning Hydrophobic Fabric,No,Yes,560,-3,Mechanical Recycling,52
Bullet-Absorbing Gel Fabric,No,Yes,610,-4,Mechanical Recycling,50
Shape-Memory Smart Fabric,No,Yes,520,-2,Mechanical Recycling,55
Artificial Spider Silk High-Strength Fabric,No,Yes,530,-3,Mechanical Recycling,50
Super-Insulated Arctic Survival Fabric,No,Yes,600,-4,Mechanical Recycling,48
Flexible OLED-Embedded Display Fabric,No,Yes,700,-5,Mechanical Recycling,45
Anti-Radiation Protective Fabric,No,Yes,650,-3,Mechanical Recycling,50
NASA-Inspired Space Suit Fabric,No,Yes,750,-4,Mechanical Recycling,45
Future Tech Biodegradable Fabric,Yes,Yes,380,5,Composting,90
